"VMail Message","Day Mins","Eve Mins","Night Mins","Intl Mins","CustServ Calls","Day Calls","Day Charge","Eve Calls","Eve Charge","Night Calls","Night Charge","Intl Calls","Intl Charge","Area Code","Phone","Account Length","Churn","Int'l Plan","VMail Plan","State"
0,243.4,121.2,162.6,12.2,0,114,41.38,110,10.3,104,7.32,5,3.29,415,2,137,"0",0,0,2
0,166.7,148.3,186.9,10.1,3,113,28.34,122,12.61,121,8.41,3,2.73,415,3,75,"0",1,0,3
24,218.2,348.5,212.6,7.5,3,88,37.09,108,29.62,118,9.57,7,2.03,510,4,121,"0",0,1,4
0,157,103.1,211.8,7.1,0,79,26.69,94,8.76,96,9.53,6,1.92,415,5,147,"0",1,0,5
0,184.5,351.6,215.8,8.7,1,97,31.37,80,29.89,90,9.71,4,2.35,408,6,117,"0",0,0,6
37,258.6,222,326.4,11.2,0,84,43.96,111,18.87,97,14.69,5,3.02,415,7,141,"0",1,1,7
0,187.7,163.4,196,9.1,0,127,31.91,148,13.89,94,8.82,5,2.46,415,8,74,"0",0,0,8
33,189.7,212.8,165.7,10,1,66,32.25,65,18.09,108,7.46,5,2.7,510,13,76,"0",0,1,13
0,183,72.9,181.8,9.5,0,112,31.11,99,6.2,78,8.18,19,2.57,415,16,130,"0",0,0,16
0,81.1,245.2,237,10.3,0,86,13.79,72,20.84,115,10.67,2,2.78,510,17,132,"0",0,0,13
0,190,258.2,181.5,6.3,0,109,32.3,84,21.95,102,8.17,6,1.7,415,19,20,"0",0,0,5
0,84.8,136.7,250.5,14.2,2,95,14.42,63,11.62,148,11.27,6,3.83,415,21,142,"0",0,0,19
0,212,31.2,293.3,12.6,3,121,36.04,115,2.65,78,13.2,10,3.4,408,23,172,"0",0,0,6
25,176.8,195,213.5,8.3,0,94,30.06,75,16.58,116,9.61,4,2.24,408,24,57,"0",0,1,3
37,220,217.3,152.8,14.7,3,80,37.4,102,18.47,71,6.88,6,3.97,415,25,72,"0",0,1,21
30,146.3,162.5,129.3,14.5,0,128,24.87,80,13.81,109,5.82,6,3.92,408,26,36,"0",0,1,22
33,203.9,187.6,101.7,10.5,3,106,34.66,99,15.95,107,4.58,6,2.84,415,28,136,"0",1,1,22
41,173.1,203.9,122.2,14.6,0,85,29.43,107,17.33,78,5.5,15,3.94,408,30,135,"1",1,1,23
0,154,225.8,265.3,3.5,1,67,26.18,118,19.19,86,11.94,3,0.95,510,32,64,"0",0,0,24
28,120.9,213,163.1,8.5,2,97,20.55,92,18.11,116,7.34,5,2.3,408,33,59,"0",0,1,25
0,187,134.6,242.2,7.4,2,133,31.79,74,11.44,127,10.9,5,2,408,34,142,"0",0,0,26
0,159.1,231.3,143.2,8.8,5,114,27.05,117,19.66,91,6.44,3,2.38,415,35,119,"1",0,0,11
24,133.2,217.2,70.6,11,1,135,22.64,58,18.46,79,3.18,3,2.97,415,36,97,"0",0,1,27
0,191.9,269.8,236.8,7.8,3,108,32.62,96,22.93,87,10.66,5,2.11,408,37,52,"0",0,0,9
0,160.2,267.5,228.5,9.3,2,117,27.23,67,22.74,68,10.28,5,2.51,415,38,96,"0",0,0,28
0,151,219.7,203.9,9.7,5,83,25.67,116,18.67,127,9.18,3,2.62,415,39,87,"1",0,0,27
0,175.5,249.3,270.2,10.2,1,67,29.84,85,21.19,98,12.16,3,2.75,408,40,81,"0",0,0,29
0,126.9,180,140.8,8,1,98,21.57,62,15.3,128,6.34,2,2.16,415,41,141,"0",0,0,30
0,148.8,246.5,129.8,12.1,3,70,25.3,164,20.95,103,5.84,3,3.27,415,43,68,"0",0,0,24
28,180.7,187.8,265.5,12.6,3,92,30.72,64,15.96,53,11.95,3,3.4,408,45,149,"0",0,1,32
0,251.5,212.8,157.8,9.3,0,105,42.76,104,18.09,67,7.1,4,2.51,415,47,43,"0",1,0,27
0,125.2,206.4,129.3,8.3,0,93,21.28,119,17.54,139,5.82,8,2.24,408,48,113,"0",1,0,34
0,178.9,169.1,148.6,13.8,4,101,30.41,110,14.37,100,6.69,3,3.73,510,49,150,"1",0,0,14
0,241.8,170.5,295.3,11.8,3,93,41.11,83,14.49,104,13.29,7,3.19,408,50,138,"0",0,0,2
0,157.1,223.3,181.4,6.1,1,90,26.71,72,18.98,111,8.16,2,1.65,415,54,50,"0",0,0,34
0,300.3,181,270.1,11.7,0,109,51.05,100,15.39,73,12.15,4,3.16,415,55,82,"1",0,0,37
0,214.1,164.4,177.5,8.2,2,72,36.4,104,13.97,113,7.99,3,2.21,415,56,46,"0",0,0,34
0,201.1,303.5,224,13.2,1,99,34.19,74,25.8,119,10.08,2,3.56,415,58,144,"0",0,0,7
24,249.5,259.7,222.7,9.8,1,101,42.42,98,22.07,68,10.02,4,2.65,415,59,70,"0",0,1,21
0,210.6,249.2,191.4,12.4,2,96,35.8,85,21.18,88,8.61,1,3.35,510,60,106,"1",0,0,14
29,179.3,225.9,323,8.6,0,104,30.48,86,19.2,78,14.54,7,2.32,510,61,128,"0",0,1,12
0,157.9,155,189.6,8,4,105,26.84,101,13.18,84,8.53,5,2.16,408,62,94,"1",0,0,29
35,154.1,123.4,202.1,10.9,2,104,26.2,84,10.49,57,9.09,9,2.94,415,63,74,"0",0,1,38
0,237.9,247.6,208.9,13.9,1,125,40.44,93,21.05,68,9.4,4,3.75,415,64,128,"1",0,0,2
0,143.9,194.9,109.6,11.1,1,61,24.46,105,16.57,94,4.93,2,3,510,65,82,"0",0,0,37
0,203.4,190.9,196,8.9,0,100,34.58,104,16.23,119,8.82,4,2.4,415,66,155,"1",0,0,6
0,124.3,173,253.2,7.9,1,100,21.13,107,14.71,62,11.39,9,2.13,415,67,80,"0",0,0,39
0,179.1,190.6,127.7,10.6,3,71,30.45,81,16.2,91,5.75,7,2.86,415,68,90,"0",0,0,16
